comments,disposition,incident,location,occurred,predicted_incident,reported,reported_date,season,ucpd_id,validated_address,validated_location
Credit cards taken from wallet in unsecured locker / Unauthorized use of credit cards reported,Open,Theft,5530 S. Ellis Ave. (Ratner A.C.),11/13/25 2:00 PM to 3:00 PM,,2025-11-13 17:55:00-06:00,2025-11-13,Fall,25-01524,"5530 S Ellis Ave, Chicago, Il, 60637",[ 41.79444356 -87.60144801]
Three unknown subjects used deception to use victim's phone off-campus to access funds from victim's bank account / Referred to CPD,Referred,Information / Deceptive Practice,5427 S. University Ave. (Public Way),11/13/25 3:30 PM,,2025-11-13 16:23:00-06:00,2025-11-13,Fall,2025-062628,"5427 S University Ave, Chicago, Il, 60615",[ 41.79719297 -87.59805036]
"Wallet taken from unattended, unsecured backpack in unsecured office / Unauthorized use of credit cards reported",Open,Theft,929 E. 57th St. (Gordon Center),11/13/25 12:40 PM to 1:50 PM,,2025-11-13 14:43:00-06:00,2025-11-13,Fall,25-01523,"929 E 57th St, Chicago, Il, 60637",[ 41.79131786 -87.6030103 ]
Secured electric scooter taken from bike rack,Open,Theft,6031 S. Ellis Ave. (Granville-Grossman RH Bike Rack),11/11/25 to 11/13/25 2:00 PM to 12:00 PM,,2025-11-13 14:02:00-06:00,2025-11-13,Fall,25-01522,"6031 S Ellis Ave, Chicago, Il, 60637",[ 41.78535247 -87.60110174]
Unknown subjects took a catalytic converter from a vehicle parked on the street off-campus / Referred to CPD,Referred,Information / Theft from Motor Vehicle,1401 E. 56th St. (Public Way),11/13/25 6:44 AM,,2025-11-13 06:45:00-06:00,2025-11-13,Fall,2025-062561,"1401 E 56th St, Chicago, Il, 60637",[ 41.79327086 -87.59156242]
Bicycle found on the street was inventoried at UCPD for safekeeping,Closed,Found Property,1414 E. 59th St. (Public Way),11/12/25 11:39 PM,,2025-11-12 23:41:00-06:00,2025-11-12,Fall,25-01521,"1414 E 59th St, Chicago, Il, 60637",[ 41.78791518 -87.59109314]
Three unknown subjects used deception to use victim's cell phone to take cash from victim's bank account / CPD case JJ487091,CPD,Information / Deceptive Practice,5300 S. Greenwood Ave. (Public Way),11/12/25 5:10 PM,,2025-11-12 21:22:00-06:00,2025-11-12,Fall,2025-062408,"5300 S Greenwood Ave, Chicago, Il, 60615",[ 41.79936322 -87.59981525]
A key fob was found on UC Shuttle Bus and turned over to UCPD for safekeeping,Closed,Found Property,850 E. 61st St. (UCPD HQ),11/12/25 5:50 PM,,2025-11-12 20:14:00-06:00,2025-11-12,Fall,25-01520,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A patient making verbal threats to UCM staff was documented,Closed,Information,5656 S. Maryland Ave. (UCMED),11/12/25 11:10 AM to 7:05 PM,Aggravated Assault of a Police Officer,2025-11-12 19:21:00-06:00,2025-11-12,Fall,25-01518,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297]
Three unknown subjects used deception to use victim's debit card to take cash from victim's bank account,Open,Deceptive Practice / Confidence Game,5600 S. Woodlawn Ave. (Public Way),11/12/25 4:50 PM,,2025-11-12 19:21:00-06:00,2025-11-12,Fall,25-01519,"5600 S Woodlawn Ave, Chicago, Il, 60637",[ 41.79320681 -87.59657467]
"Wallet taken from unsecured, unattended wallet left in unsecured office",Open,Theft,5815 S. Maryland Ave. (Mitchell Hospital),11/12/25 2:20 PM to 3:45 PM,,2025-11-12 15:58:00-06:00,2025-11-12,Fall,25-01517,"5815 S Maryland Ave, Chicago, Il, 60637",[ 41.78922352 -87.60487504]
A mental health patient restrained by staff,Closed,Information,5656 S. Maryland Ave. (UCMED),11/12/25 11:00 AM,,2025-11-12 11:18:00-06:00,2025-11-12,Fall,25-01516,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297]
Window smashed and property taken from a vehicle parked on the street off-campus,Open,Theft,5309 S. Kimbark Ave. (Public Way),11/11/25 to 11/12/25 8:00 PM to 5:15 AM,,2025-11-12 05:32:00-06:00,2025-11-12,Fall,25-01515,"5309 S Kimbark Ave, Chicago, Il, 60615",[ 41.79917041 -87.59494177]
A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officers,Arrest,Theft,1554 E. 55th St. (Walgreens),11/11/25 5:08 PM,,2025-11-11 17:08:00-06:00,2025-11-11,Fall,25-01514,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),11/11/25 4:40 PM,,2025-11-11 16:40:00-06:00,2025-11-11,Fall,2025-062128,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),11/11/25 3:30 PM,,2025-11-11 15:32:00-06:00,2025-11-11,Fall,2025-062118,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),11/11/25 1:23 PM,,2025-11-11 13:23:00-06:00,2025-11-11,Fall,2025-062098,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
Delayed report of a pedestrian striking the side of a vehicle / No damage reported,Open,Disorderly Conduct,5700 S. Maryland Ave. (Street),11/10/25 7:20 AM,,2025-11-11 07:47:00-06:00,2025-11-11,Fall,25-01513,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721]
Two unknown subjects snatched victim's phone from a bicycle while victim was in a store / CPD case JJ484807,CPD,Information / Theft,1400 E. 47th St. (Parking Lot),11/10/25 8:50 PM,,2025-11-10 20:53:00-06:00,2025-11-10,Fall,2025-061932,"1400 E 47th St, Chicago, Il, 60653",[ 41.80974745 -87.5923544 ]
A parked vehicle was struck by another vehicle that fled the scene,Open,Traffic Crash / Property Damage / Hit and Run,5513 S. Kimbark Ave. (Public Way),11/7/25 to11/10/25 12:00 PM to 8:10 PM,,2025-11-10 20:15:00-06:00,2025-11-10,Fall,25-01512,"5513 S Kimbark Ave, Chicago, Il, 60637",[ 41.79453734 -87.59483353]
Apple AirPods found in Ride Smart vehicle turned over to UCPD for safekeeping,Closed,Found Property,850 E. 61st St. (UCPD HQ),11/10/25 4:55 PM,,2025-11-10 16:58:00-06:00,2025-11-10,Fall,25-01511,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A conversation between a UCM staff member and a mental health patient was documented,Closed,Information,5656 S. Maryland Ave. (UCMED),11/10/25 12:30 PM,Aggravated Fleeing Police,2025-11-10 12:35:00-06:00,2025-11-10,Fall,25-01510,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297]
A van parked on the street was struck by another vehicle that fled the scene,Open,Traffic Crash / Property Damage / Hit and Run,5848 S. Harper Ave. (Public Way),11/7/25 to 11/10/25 2:30 PM to 9:50 AM,,2025-11-10 09:56:00-06:00,2025-11-10,Fall,25-01509,"5848 S Harper Ave, Chicago, Il, 60637",[ 41.78882208 -87.58904762]
An unauthorized person was questioned regarding his presence in the residence hall lobby / Subject warned of trespass,Closed,Information,1156 E. 61st St. (WRC),11/10/25 9:15 AM,Damage to Vehicle,2025-11-10 09:26:00-06:00,2025-11-10,Fall,25-01508,"1156 E 61st St, Chicago, Il, 60637",[ 41.78420791 -87.5974474 ]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),11/10/25 8:45 AM,,2025-11-10 08:46:00-06:00,2025-11-10,Fall,2025-061812,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),11/10/25 8:20 AM,,2025-11-10 08:24:00-06:00,2025-11-10,Fall,2025-061807,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
A wallet was found in a rideshare vehicle and turned over to UCPD for safekeeping,Closed,Found Property,850 E. 61st St. (UCPD HQ),11/10/25 2:54 AM,,2025-11-10 02:54:00-06:00,2025-11-10,Fall,25-01507,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A patient in need of mental health evaluation was restrained and treated,Closed,Information,5656 S. Maryland Ave. (UCMED),11/9/25 1:56 PM,,2025-11-09 13:56:00-06:00,2025-11-09,Fall,25-01505,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297]
An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),11/9/25 11:37 AM,,2025-11-09 11:38:00-06:00,2025-11-09,Fall,2025-061596,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
"A patient, fully licensed to own and carry a firearm, had weapon in their possession / Weapon turned over to UCPD for safekeeping",Closed,Found Property,5656 S. Maryland Ave. (UCMED),11/9/25 8:30 AM,,2025-11-09 08:32:00-06:00,2025-11-09,Fall,25-01503,"5656 S Maryland Ave, Chicago, Il, 60637",[ 41.7921342  -87.60503297]
"Two unknown suspects, armed with handguns, took property from two victims walking on the sidewalk off-campus before fleeing to a waiting vehicle / CPD case JJ482840",CPD,Information / Armed Robbery,5039 S. Blackstone Ave. (Public Way),11/9/25 3:55 AM,,2025-11-09 04:06:00-06:00,2025-11-09,Fall,2025-061541,"5039 S Blackstone Ave, Chicago, Il, 60615",[ 41.80353707 -87.59044965]
"Four unknown suspects, armed with handguns, took property from a person walking in an alley off-campus / CPD case JJ482634",CPD,Information / Armed Robbery,4830 S. Drexel Ave. (Alley),11/8/25 9:45 PM,,2025-11-08 21:51:00-06:00,2025-11-08,Fall,2025-061443,"4830 S Drexel Blvd, Chicago, Il, 60615",[ 41.80715755 -87.60439714]
Funds taken from complainant's bank account,Open,Theft,5525 S. Ellis Ave. (Maroon Financial),11/4/25 to 11/7/25 3:15 PM to 4:00 PM,,2025-11-08 16:05:00-06:00,2025-11-08,Fall,25-01502,"5525 S Ellis Ave, Chicago, Il, 60637",[ 41.7941822  -87.60128794]
Secured electric bicycle taken from bike rack,Open,Theft,1100 E. 57th St. (Regenstein Bike Rack),11/8/25 9:00 AM to 1:00 PM,,2025-11-08 13:23:00-06:00,2025-11-08,Fall,25-01501,"1100 E 57th St, Chicago, Il, 60637",[ 41.79148537 -87.59815254]
A catalytic converter was taken from a vehicle parked on the street off-campus / Referred to CPD,Referred,Information / Theft from Motor Vehicle,5540 S. Hyde Park Blvd. (Public Way),11/7/25 to 11/8/25 9:00 PM to 9:30 AM,,2025-11-08 09:53:00-06:00,2025-11-08,Fall,2025-061317,"5540 S Hyde Park Blvd, Chicago, Il, 60637",[ 41.79415169 -87.58400152]
A suspect displayed a knife and threatened another person with bodily harm / Suspect located and arrested by UCPD officers,Arrest,Aggravated Assault,1228 E. 53rd St. (Parking Lot),11/7/25 11:29 PM,,2025-11-07 23:30:00-06:00,2025-11-07,Fall,25-01499,"1228 E 53rd St, Chicago, Il, 60615",[ 41.79951603 -87.59614964]
Laptop left unattended and unsecured in locker room was taken by unknown person,Open,Theft,5700 S. Maryland Ave. (CCD),11/4/25 to 11/7/25 3:30 PM to 12:30 AM,,2025-11-07 16:42:00-06:00,2025-11-07,Fall,25-01496,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721]
An unauthorized individual was cautioned regarding trespass and was escorted from the building,Closed,Trespass Warning,1150 E. 58th St. (Saieh Hall),11/7/25 3:33 PM,,2025-11-07 15:34:00-06:00,2025-11-07,Fall,25-01494,"1150 E 58th St, Chicago, Il, 60637",[ 41.78967746 -87.59681877]
A physical altercation between two individuals occurred off-campus / Charter school administrators to handle discipline,Closed,Battery,6301 S. University Ave. (Public Way),11/7/25 3:10 PM,,2025-11-07 15:16:00-06:00,2025-11-07,Fall,25-01493,"6301 S University Ave, Chicago, Il, 60637",[ 41.77951887 -87.59715594]
A person reported that three cashier's checks were stolen from the U.S. Mail and altered by an unknown suspect / Victim referred to CPD,Referred,Information / Theft,850 E. 61st St. (UCPD HQ),10/24/25 unknown time,,2025-11-07 15:11:00-06:00,2025-11-07,Fall,2025-061097,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A discussion between patient and staff member documented,Closed,Information,5758 S. Maryland Ave. (DCAM),11/7/25 1:16 PM,Aggravated Fleeing Police,2025-11-07 13:17:00-06:00,2025-11-07,Fall,25-01492,"5758 S Maryland Ave, Chicago, Il, 60637",[ 41.79005688 -87.60501186]
Basement door damaged by unknown person(s),Open,Damage to Property,6031 S. Ellis Ave. (Granville-Grossman RH),11/5/25 to 11/6/25 9:00 AM to 8:00 AM,,2025-11-07 10:02:00-06:00,2025-11-07,Fall,25-01491,"6031 S Ellis Ave, Chicago, Il, 60637",[ 41.78535247 -87.60110174]
Unknown subjects smashed the window of a van parked on the street off-campus / CPD case,CPD,Information / Criminal Damage to Vehicle,1716 E. 53rd St. (Public Way),11/7/25 1:55 AM,,2025-11-07 01:57:00-06:00,2025-11-07,Fall,2025-061017,"1716 E 53rd St, Chicago, Il, 60615",[ 41.79969445 -87.58323691]
Unknown person(s) discharged a firearm striking the window of an unoccupied parked vehicle / CPD case JJ480388,CPD,Information / Shot Fired / Damage to Property,5500 S. Shore Dr. (Public Way),11/7/25 1:15 AM,,2025-11-07 01:16:00-06:00,2025-11-07,Fall,2025-061010,"5500 S Shore Dr, Chicago, Il, 60637",[ 41.79522288 -87.58052778]
Three unknown subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,Information / Theft,1554 E. 55th St. (Walgreens),11/6/25 11:38 PM,,2025-11-06 23:39:00-06:00,2025-11-06,Fall,2025-060993,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
Vehicle struck two parked vehicles and other property on the street off-campus / Driver transported to UCMED by CFD EMS,Open,Traffic Crash / Property Damage,4937 S. Kimbark Ave. (Public Way),11/6/25 7:29 PM,,2025-11-06 19:30:00-06:00,2025-11-06,Fall,25-01490,"4937 S Kimbark Ave, Chicago, Il, 60615",[ 41.80533553 -87.59506917]
Property found on a UC Shuttle Bus turned over to UCPD for safekeeping,Closed,Found Property,850 E. 61st St. (UCPD HQ),11/6/25 12:00 PM,,2025-11-06 16:41:00-06:00,2025-11-06,Fall,25-01489,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A person in need of medical attention was transported to UCMED by CFD EMS,Closed,Medical Call,5706 S. University Ave. (Reynolds Club),11/6/25 4:02 PM,,2025-11-06 16:02:00-06:00,2025-11-06,Fall,25-01488,"5706 S University Ave, Chicago, Il, 60637",[ 41.79126654 -87.59814716]
Argument between two staff members documented,Open,Assault,5700 S. Maryland Ave. (CCD),11/3/25 11:30 AM,,2025-11-06 13:25:00-06:00,2025-11-06,Fall,25-01487,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721]
Suspicious activity documented,Closed,Information,1155 E. 58th St. (ISAC),11/6/25 8:40 AM,,2025-11-06 10:23:00-06:00,2025-11-06,Fall,25-01486,"1155 E 58th St, Chicago, Il, 60637",[ 41.78955386 -87.59781625]
Window shattered in work van parked on the street off-campus / Referred to CPD,Referred,Information / Criminal Damage to Vehicle,5553 S. Blackstone Ave. (Public Way),11/6/25 8:30 AM to 10:00 AM,,2025-11-06 10:13:00-06:00,2025-11-06,Fall,2025-060870,"5553 S Blackstone Ave, Chicago, Il, 60637",[ 41.79402595 -87.59023407]
"DSS was notified by a Campus Security Authority that an undisclosed victim reported she was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,Sexual Assault,1009 E. 57th St. (Snell-Hitchcock RH),11/1/25 time not specified,,2025-11-06 09:44:00-06:00,2025-11-06,Fall,CSA Report 25-001,"1009 E 57th St, Chicago, Il, 60637",[ 41.79133942 -87.60104438]
"Delayed report - theft of credit/debit cards from unattended, unsecured wallet / Subsequent unauthorized use of cards reported",Open,Theft,929 E. 57th St. (Gordon Center),10/23/25 3:30 PM to 3:40 PM,,2025-11-06 09:25:00-06:00,2025-11-06,Fall,25-01485,"929 E 57th St, Chicago, Il, 60637",[ 41.79131786 -87.6030103 ]
A person was transported to UCMED for evaluation,Closed,Medical Transport,5625 S. Ellis Ave. (Max Palevsky RC),11/6/25 8:49 AM,,2025-11-06 08:49:00-06:00,2025-11-06,Fall,25-01484,"5625 S Ellis Ave, Chicago, Il, 60637",[ 41.79273766 -87.60125727]
"UCPD officer recovered an unoccupied, abandoned vehicle that had been reported stolen to another agency",Closed,Recovered Vehicle,5900 S. Stony Island Ave. (Public Way),11/6/25 12:54 AM,,2025-11-06 00:59:00-06:00,2025-11-06,Fall,25-01481,"5900 S Stony Island Ave, Chicago, Il, 60637",[ 41.78633061 -87.58667573]
Delayed report of vehicle vs. bicycle crash,Closed,Traffic Crash / Personal Injury,5500 S. University Ave. (Public Way),11/5/25 9:30 PM,,2025-11-06 00:48:00-06:00,2025-11-06,Fall,25-01482,"5500 S University Ave, Chicago, Il, 60637",[ 41.79501825 -87.5981983 ]
Vehicle parked on the street struck by another vehicle that fled the scene,Open,Traffic Crash / Property Damage / Hit and Run,951 E. 61st St. (Public Way),11/5/25 8:30 AM to 9:00 PM,,2025-11-05 22:18:00-06:00,2025-11-05,Fall,25-01483,"951 E 61st St, Chicago, Il, 60637",[ 41.78403838 -87.60236081]
A person in need of medical attention was transported to UCMED by CFD EMS,Closed,Medical Call,6031 S. Ellis Ave. (Granville-Grossman RH),11/5/25 9:07 PM,,2025-11-05 21:07:00-06:00,2025-11-05,Fall,25-01480,"6031 S Ellis Ave, Chicago, Il, 60637",[ 41.78535247 -87.60110174]
"Two suspects, one armed with a metal club, took property from two people walking on the sidewalk off-campus / CPD case JJ479030",CPD,Information / Armed Robbery,4749 S. Drexel Ave. (Public Way),11/5/25 8:10 PM,,2025-11-05 20:14:00-06:00,2025-11-05,Fall,2025-060731,"4749 S Drexel Blvd, Chicago, Il, 60615",[ 41.80849891 -87.60379694]
A found ID card was turned over to UCPD / Owner notified,Closed,Found Property,850 E. 61st St. (UCPD HQ),11/5/2/5 4:30 PM,,2025-11-05 17:32:00-06:00,2025-11-05,Fall,25-01479,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
Unknown subject damaged a Quran in the hospital chapel by writing hateful messages in the book,Open,Damage to Property,5700 S. Maryland Ave. (CCD Chapel),10/11/25 5:30 PM,,2025-11-05 16:19:00-06:00,2025-11-05,Fall,25-01478,"5700 S Maryland Ave, Chicago, Il, 60637",[ 41.7903992  -87.60501721]
Secured bicycle taken from bike rack,Open,Theft,6031 S. Ellis Ave. (Granville-Grossman RH Bike Rack),11/4/25 to 11/5/25 8:00 PM to 1:25 PM,,2025-11-05 14:52:00-06:00,2025-11-05,Fall,25-01477,"6031 S Ellis Ave, Chicago, Il, 60637",[ 41.78535247 -87.60110174]
Water tank on food truck damaged when struck by a scooter,Closed,Non-Criminal Damage to Property,5807 S. Ellis Ave. (Public Way),11/5/25 1:34 PM,,2025-11-05 13:34:00-06:00,2025-11-05,Fall,25-01476,"5807 S Ellis Ave, Chicago, Il, 60637",[ 41.78944651 -87.60118196]
A subject was taken into custody for threatening to start a fire in the building,Arrest,Disorderly Conduct,1100 E. 57th St. (Mansueto Library),11/5/25 9:50 AM,,2025-11-05 09:53:00-06:00,2025-11-05,Fall,25-01474,"1100 E 57th St, Chicago, Il, 60637",[ 41.79148537 -87.59815254]
A vehicle struck a rail in the parking structure causing minor damage,Closed,Non-Criminal Damage to Property,5505 S. Ellis Ave. (Parking Structure),11/5/25 9:36 AM,,2025-11-05 09:38:00-06:00,2025-11-05,Fall,25-01475,"5505 S Ellis Ave, Chicago, Il, 60637",[ 41.79483054 -87.60129259]
An unknown subject threatened to use pepper spray on UCM staff members / Suspect fled the scene,Open,Assault,5758 S. Maryland Ave. (DCAM),11/5/25 6:40 AM,,2025-11-05 06:42:00-06:00,2025-11-05,Fall,25-01473,"5758 S Maryland Ave, Chicago, Il, 60637",[ 41.79005688 -87.60501186]
A n unknown subject smashed the window of a vehicle parked on the street off-campus and took property / Referred to CPD,Referred,Information / Theft,1645 E. 53rd St. (Public Way),11/5/25 6:03 AM,,2025-11-05 06:03:00-06:00,2025-11-05,Fall,25-01472,"1645 E 53rd St, Chicago, Il, 60615",[ 41.79953502 -87.58520832]
A bracelet was found by a rideshare driver and turned over to UCPD for safekeeping,Closed,Found Property,850 E. 61st St. (UCPD HQ),11/4/25 7:20 PM,,2025-11-05 00:26:00-06:00,2025-11-05,Fall,25-01471,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
Unknown subject damaged a Quran in the hospital chapel by writing hateful anti-religious messages in ink,Open,Damage to Property,5815 S. Maryland Ave. (Mitchell Hospital),11/4/25 2:29 PM,,2025-11-04 14:29:00-06:00,2025-11-04,Fall,25-01470,"5815 S Maryland Ave, Chicago, Il, 60637",[ 41.78922352 -87.60487504]
A known acquaintance took victim's vehicle parked on the street off-campus without consent / Referred to CPD,Referred,Information / Motor Vehicle Theft,1513 E. 53rd St. St (Public Way),11/4/25 12:30 PM,,2025-11-04 12:57:00-06:00,2025-11-04,Fall,2025-060338,"1513 E 53rd St, Chicago, Il, 60615",[ 41.79949107 -87.58865477]
A fire alarm was activated due to smoke from an elevator malfunction / CFD responded / No fire or injuries reported,Closed,Information / Fire Alarm,840 E. 59th St. (Student Wellness),11/4/25 12:05 PM,,2025-11-04 12:05:00-06:00,2025-11-04,Fall,25-01469,"840 E 59th St, Chicago, Il, 60637",[ 41.78777742 -87.60410742]
Unknown subject smashed window in parked vehicle off-campus and took property / Referred to CPD,Referred,Information / Theft,5443 S. Shore Dr. (Public Way),11/3/25 to 11/4/25 6:00 PM to 6:20 AM,,2025-11-04 06:57:00-06:00,2025-11-04,Fall,2025-060269,"5443 S Shore Dr, Chicago, Il, 60615",[ 41.79860855 -87.58221894]
A subject that had been previously warned about trespass ignored warning / Management declined prosecution,Ex. Cleared,Trespass to Property,1554 E. 55th St. (Walgreens),11/4/25 1:23 AM,,2025-11-04 01:23:00-06:00,2025-11-04,Fall,25-01468,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
Person reported they lost headphones in the building,Closed,Lost Property,1414 E. 59th St. (I-House),10/28/25 to 11/2/25 9:00 PM to 2:20 PM,,2025-11-03 20:34:00-06:00,2025-11-03,Fall,25-01467,"1414 E 59th St, Chicago, Il, 60637",[ 41.78791518 -87.59109314]
A person standing on the sidewalk was struck with a paintball fired by a person that fled in a waiting vehicle,Open,Battery,6100 S. Ellis Ave. (Public Way),11/3/25 7:48 PM,,2025-11-03 19:48:00-06:00,2025-11-03,Fall,25-01466,"6100 S Ellis Ave, Chicago, Il, 60637",[ 41.78405383 -87.6012232 ]
A person walking on the sidewalk off-campus was struck with a paintball fired from a passing vehicle,Open,Battery,5750 S. Stony Island Ave. (Public Way),11/3/25 6:10 PM,,2025-11-03 18:25:00-06:00,2025-11-03,Fall,25-01464,"5750 S Stony Island Ave, Chicago, Il, 60637",[ 41.7903893  -87.58676583]
A person previously banned from UC property was arrested for trespass,Arrest,Trespass to Property,915 E. 60th St.(Shuttle Bus),11/3/25 6:04 PM,,2025-11-03 18:15:00-06:00,2025-11-03,Fall,25-01465,"915 E 60th St, Chicago, Il, 60637",[ 41.78583956 -87.60381135]
Secured electric scooter taken from bike rack,Open,Theft,1100 E. 57th St. (Regenstein Library Bike Rack),11/3/25 2:00 PM to 3:20 PM,,2025-11-03 15:36:00-06:00,2025-11-03,Fall,25-01463,"1100 E 57th St, Chicago, Il, 60637",[ 41.79148537 -87.59815254]
A person was transported to UCMED for evaluation,Closed,Medical Transport,840 E. 59th St. (Student Wellness),11/3/25 3:06 PM,,2025-11-03 15:10:00-06:00,2025-11-03,Fall,25-01462,"840 E 59th St, Chicago, Il, 60637",[ 41.78777742 -87.60410742]
Cell phone found and turned over to UCPD for safekeeping / Owner notified,Closed,Found Property,850 E. 61st St. (UCPD HQ),11/3/25 8:54 AM,,2025-11-03 14:23:00-06:00,2025-11-03,Fall,25-01461,"850 E 61st St, Chicago, Il, 60637",[ 41.78412446 -87.60566276]
A subject took merchandise from the off-campus store without paying / UCPD officer located and arrested the suspect,Arrest,Theft,1554 E. 55th St. (Walgreens),11/3/25 11:16 AM,,2025-11-03 11:18:00-06:00,2025-11-03,Fall,25-01460,"1554 W 55th St, Chicago, Il, 60609",[ 41.79409491 -87.66382574]
Unknown subject forced entry to vehicle parked on the street off-campus and took property / Referred to CPD,Referred,Information / Theft,5300 S. Drexel Ave. (Public Way),11/1/25 to 11/2/25 9:00 PM to 11:15 AM,,2025-11-02 11:23:00-06:00,2025-11-02,Fall,2025-059807,"5300 S Drexel Ave, Chicago, Il, 60615",[ 41.79858862 -87.60397692]
A person was transported to UCMED for evaluation,Closed,Medical Transport,1005 E. 60th St. (Burton-Judson RH),11/2/25 11:00 AM,,2025-11-02 11:00:00-06:00,2025-11-02,Fall,25-01459,"1005 E 60th St, Chicago, Il, 60637",[ 41.78587286 -87.60103446]
Window smashed in vehicle parked on the street off-campus / Referred to CPD,Referred,Information / Criminal Damage to Vehicle,5459 S. University Ave. (Public Way),11/2/25 9:00 AM,,2025-11-02 09:03:00-06:00,2025-11-02,Fall,2025-059787,"5459 S University Ave, Chicago, Il, 60615",[ 41.7963166  -87.59803226]
An unauthorized subject was given a warning of criminal trespass and released,Closed,Trespass to Property,1116 E. 59th St. (S. Harper Ave. Library),11/2/25 8:05 AM,,2025-11-02 08:05:00-06:00,2025-11-02,Fall,25-01458,"1116 E 59th St, Chicago, Il, 60637",[ 41.78782808 -87.59934635]
An underage individual became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,Liquor Law Violation,1414 E. 59th St. (I-House),11/2/25 3:02 AM,,2025-11-02 03:02:00-06:00,2025-11-02,Fall,25-01457,"1414 E 59th St, Chicago, Il, 60637",[ 41.78791518 -87.59109314]
Intoxicated subject found sleeping in vehicle they believed to belong to a relative / Peace restored,Closed,Information,5311 S. Lake Park Ave. (Parking Lot),11/2/25 2:13 AM,Armed Robbery Arrest / Attempted Armed Robbery,2025-11-02 02:13:00-06:00,2025-11-02,Fall,25-01456,"5311 S Lake Park Ave, Chicago, Il, 60615",[ 41.79937322 -87.58720802]
An underage individual became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,Liquor Law Violation,5500 S. University Ave. (Campus North RH),11/2/25 12:16 AM,,2025-11-02 00:16:00-05:00,2025-11-02,Fall,25-01455,"5500 S University Ave, Chicago, Il, 60637",[ 41.79501825 -87.5981983 ]
A person was notified they were the subject of an Order of Protection issued by the Circuit Court of Cook County,Closed,Notification of Order of Protection,6054 S. Drexel Ave. (Parking Structure),11/1/25 5:58 PM,,2025-11-01 17:58:00-05:00,2025-11-01,Fall,25-01454,"6054 S Drexel Ave, Chicago, Il, 60637",[ 41.78450123 -87.60447514]
Social media posting complaints/investigation documented,Closed,Information,1362 E. 59th St. (Lab School),10/6/25 5:25 PM,,2025-11-01 17:26:00-05:00,2025-11-01,Fall,25-01453,"1362 E 59th St, Chicago, Il, 60637",[ 41.78789688 -87.59272762]
Secured electric scooter taken from bike rack,Open,Theft,5530 S. Ellis Ave. (Ratner A.C. Bike Rack),10/30/25 3:30 PM to 7:30 PM,,2025-11-01 16:46:00-05:00,2025-11-01,Fall,25-01452,"5530 S Ellis Ave, Chicago, Il, 60637",[ 41.79444356 -87.60144801]
